weight, dataset, model, epochs, batch, imgsz, optimize, lr, pretrained, conf, box_map50, box_map95, seg_map50, seg_map95, mIoU, IoU foreground, IoU background, Precision, Recall, F1 score, online_F1
mars-seg_yolo26x-seg, mars-seg, yolo26x-seg, 100, 16, 640, auto, auto, True, 0.5, 0.65, 0.485, 0.634, 0.439, 0.7110,  0.6017,  0.8203,  0.8437,  0.6772, 0.7514, 0
mars-seg_yolov8x-seg, mars-seg, yolov8x-seg, 100, 16, 640, auto, auto, True, 0.5, 0.675, 0.526, 0.638, 0.447, 0.7071, 0.6123, 0.8019, 0.7633, 0.7558, 0.7595, 0
mars-seg_yolov9e-seg, mars-seg, yolov9e-seg, 100, 16, 640, auto, auto, True, 0.5, 0.673, 0.538, 0.673, 0.457, 0.6826, 0.5649, 0.8002, 0.8069, 0.6533, 0.7220, 0
mars-seg_yolov10x-seg, mars-seg, yolov10x-seg, 100, 16, 640, auto, auto, True, 0.5, 0.652, 0.524, 0.65, 0.428, 0.6961, 0.5995, 0.7926, 0.7480, 0.7512, 0.7496, 0
mars-seg_yolo11x-seg, mars-seg, yolo11x-seg, 100, 16, 640, auto, auto, True, 0.5, 0.654, 0.525, 0.597, 0.383,   0.7054, 0.6107, 0.8002, 0.7599, 0.7566, 0.7583, 0
mars-seg_yolo12x-seg, mars-seg, yolo12x-seg, 100, 16, 640, auto, auto, True, 0.5, 0.625, 0.473, 0.589, 0.396,  0.6570, 0.5452, 0.7688, 0.7239, 0.6884, 0.7057, 0
mars-seg_yolo26x-seg2, mars-seg, yolo26x-seg, 100, 16, 640, musgd, 0.01, True, 0.5, 0.682, 0.542, 0.672, 0.449, 0.7513,  0.6616,  0.8410,  0.8463,  0.7520, 0.7963, 0
mars-seg_yolov8x-seg2, mars-seg, yolov8x-seg, 100, 16, 640, musgd, 0.01, True, 0.5, 0.657, 0.543, 0.614, 0.419, 0.6848, 0.6116, 0.7580, 0.6701, 0.8751, 0.7590, 0
mars-seg_yolov9e-seg2, mars-seg, yolov9e-seg, 100, 16, 640, musgd, 0.01, True, 0.5, 0.735, 0.609, 0.678, 0.458, 0.6656, 0.5831, 0.7481, 0.6646, 0.8263, 0.7367, 0
mars-seg_yolov10x-seg2, mars-seg, yolov10x-seg, 100, 16, 640, musgd, 0.01, True, 0.5, 0.695, 0.558, 0.615, 0.438, 0.7077, 0.6188, 0.7966, 0.7432, 0.77870, 0.7645, 0
mars-seg_yolo11x-seg2, mars-seg, yolo11x-seg, 100, 16, 640, musgd, 0.01, True, 0.5, 0.703, 0.581, 0.674, 0.48,   0.6530, 0.5720, 0.7339, 0.6466, 0.8322, 0.7278, 0
mars-seg_yolo12x-seg2, mars-seg, yolo12x-seg, 100, 16, 640, musgd, 0.01, True, 0.5, 0.717, 0.555, 0.654, 0.44,  0.7526, 0.6678, 0.8375, 0.8216, 0.7810, 0.8008, 0